datetime,pm2.5,co,no,no2,pm10,nox,o3,veloc.,direc.,so2
1/1/2019 0:00,77,0.2,1,45,83,69,3,0.3,16,7
1/1/2019 1:00,65,0.2,1,37,70,68,3,0.2,21,5
1/1/2019 2:00,47,0.1,1,35,51,61,3,0.2,35,5
1/1/2019 3:00,43,0.1,1,29,46,53,3,0.1,71,5
1/1/2019 4:00,36,0.1,1,23,39,39,3,0.1,236,4
1/1/2019 5:00,28,0.1,1,19,30,23,3,0.2,243,4
1/1/2019 6:00,25,0.1,1,19,27,22,3,0.1,28,3
1/1/2019 7:00,24,0.1,1,22,26,32,3,0.3,346,4
1/1/2019 8:00,22,0.1,1,17,24,29,3,0.2,292,4
1/1/2019 9:00,22,0.1,1,19,24,27,5,0.3,284,3
1/1/2019 10:00,24,0.1,1,22,26,35,8,0.6,274,4
1/1/2019 11:00,28,0.1,1,17,30,24,25,0.8,263,4
1/1/2019 12:00,34,0.1,1,12,36,14,44,0.5,257,3
1/1/2019 13:00,35,0.1,1,15,38,17,46,0.5,133,3
1/1/2019 14:00,31,0.1,1,17,34,19,50,0.8,102,3
1/1/2019 15:00,28,0.3,1,19,30,21,49,0.8,116,3
1/1/2019 16:00,26,0.3,1,13,28,15,57,0.5,107,3
1/1/2019 17:00,29,0.3,1,23,31,25,44,0.6,83,3
1/1/2019 18:00,30,0.4,1,22,33,24,43,0.2,64,3
1/1/2019 19:00,34,0.3,1,43,36,45,21,0.1,45,3
1/1/2019 20:00,37,0.2,1,68,40,131,4,0.1,27,3
1/1/2019 21:00,44,0.2,1,70,47,153,3,0.3,264,5
1/1/2019 22:00,44,0.1,1,56,47,81,4,0.3,239,4
1/1/2019 23:00,40,0.1,1,47,44,54,6,0.5,259,5
1/2/2019 0:00,37,0.1,1,35,40,36,12,0.2,238,4
1/2/2019 1:00,37,0.1,1,29,40,31,7,0.3,233,3
1/2/2019 2:00,36,0.1,1,26,38,28,4,0.9,222,3
1/2/2019 3:00,33,0.1,1,18,36,20,14,0.6,244,3
1/2/2019 4:00,30,0.1,1,8,32,10,24,1,254,3
1/2/2019 5:00,29,0.1,1,12,31,14,17,0.5,254,3
1/2/2019 6:00,25,0.1,1,22,27,24,7,0.2,285,3
1/2/2019 7:00,23,0.1,1,31,25,51,3,0.3,259,3
1/2/2019 8:00,26,0.1,1,37,28,99,3,0.3,238,4
1/2/2019 9:00,26,0.1,1,36,29,87,4,0.5,252,3
1/2/2019 10:00,25,0.1,1,36,27,84,9,0.7,281,3
1/2/2019 11:00,29,0.1,1,41,32,99,11,0.3,248,4
1/2/2019 12:00,28,0.1,1,32,30,54,24,0.2,40,3
1/2/2019 13:00,28,0.1,1,19,30,24,47,0.5,220,4
1/2/2019 14:00,29,0.2,1,41,32,66,27,1.4,120,3
1/2/2019 15:00,26,0.3,1,18,29,21,52,1.3,106,3
1/2/2019 16:00,28,0.3,1,23,30,25,49,1.4,98,3
1/2/2019 17:00,28,0.3,1,25,30,27,43,0.5,98,3
1/2/2019 18:00,31,0.6,1,49,33,51,19,0.1,43,3
1/2/2019 19:00,31,0.5,1,62,34,89,5,0.2,4,3
1/2/2019 20:00,36,0.4,1,68,39,148,3,0.2,21,6
1/2/2019 21:00,41,0.4,1,67,44,126,3,0.2,354,6
1/2/2019 22:00,50,0.4,1,67,53,178,3,0.2,333,8
1/2/2019 23:00,47,0.2,1,53,51,104,3,0.2,298,7
1/3/2019 0:00,44,0.2,1,45,47,61,3,0.2,358,6
1/3/2019 1:00,42,0.1,1,35,45,46,3,0.5,245,3
1/3/2019 2:00,39,0.1,1,26,42,38,3,0.7,230,3
1/3/2019 3:00,34,0.1,1,22,36,28,3,0.3,303,3
1/3/2019 4:00,31,0.1,1,20,33,22,3,0.2,332,3
1/3/2019 5:00,28,0.1,1,19,30,20,3,0.1,61,3
1/3/2019 6:00,26,0.1,1,19,28,32,3,0.1,192,3
1/3/2019 7:00,29,0.1,1,22,31,119,3,0.1,186,5
1/3/2019 8:00,31,0.1,1,34,33,234,3,0.1,152,7
1/3/2019 9:00,32,0.2,1,34,35,243,3,0.1,106,7
1/3/2019 10:00,34,0.2,1,36,37,198,3,0.1,128,6
1/3/2019 11:00,40,0.3,1,47,44,181,5,0.2,104,6
1/3/2019 12:00,43,0.2,1,33,47,65,18,0.7,37,3
1/3/2019 13:00,44,0.3,1,19,47,22,31,1.6,62,4
1/3/2019 14:00,47,0.4,1,19,51,22,39,1.7,65,3
1/3/2019 15:00,45,0.4,1,17,49,19,45,1.4,75,3
1/3/2019 16:00,39,0.5,1,23,42,25,39,0.9,68,3
1/3/2019 17:00,35,0.5,1,23,38,25,38,0.7,64,3
1/3/2019 18:00,37,0.6,1,43,39,46,20,0.2,56,3
1/3/2019 19:00,41,0.5,1,63,44,93,7,0.3,358,3
1/3/2019 20:00,46,0.5,1,67,49,139,3,0.2,349,3
1/3/2019 21:00,49,0.3,1,65,53,136,3,0.5,349,4
1/3/2019 22:00,53,0.2,1,58,57,106,3,0.3,328,4
1/3/2019 23:00,59,0.2,1,56,64,93,3,0.2,312,3
1/4/2019 0:00,61,0.2,1,49,66,82,3,0.2,339,4
1/4/2019 1:00,59,0.1,1,38,64,68,3,0.5,238,6
