Order,BIC
0,-90.6024043208062
1,-99.04105302739282
2,-101.45389711854149
3,-101.6295088006002
4,-101.81081034750898
5,-101.87691733813968
6,-101.95485535450872
7,-102.05515281261405
8,-102.1407520215766
9,-102.24800060621646
10,-102.39199236444968
11,-102.5585535880443
12,-102.98571252758282
13,-103.82181644855163
14,-103.96906961274412
15,-104.03759764346225
16,-104.08690906367981
17,-104.1208232342232
18,-104.14667896152824
19,-104.17907364188521
20,-104.21139059957395
21,-104.24468034717238
22,-104.29998713814767
23,-104.56922031434489
24,-105.05141014076072
25,-105.44483156272076
26,-105.46053109295096
27,-105.4219494585901
28,-105.37595721562143
29,-105.32719773400116
30,-105.27860582217352
31,-105.23484683622605
32,-105.1895880642735
33,-105.144576681283
34,-105.10374630752952
35,-105.06179647015473
36,-105.02317175760028
37,-104.99222406262257
38,-104.94994620890202
39,-104.90357620784941
40,-104.86285733480943
41,-104.82085039436353
42,-104.78094700663054
43,-104.7401425170962
44,-104.69736261108656
45,-104.65534569876962
46,-104.61444887564494
47,-104.60258488341483
48,-104.63102505450297
49,-104.67155847889357
50,-104.63965807795277
51,-104.59207163287994
52,-104.54252484707509
53,-104.48914445194603
54,-104.44099667138084
55,-104.39337807409126
56,-104.34248367927832
57,-104.29286781961491
58,-104.24375477762631
59,-104.19428023412722
60,-104.14648445548205
61,-104.10107644794255
62,-104.05404835387903
63,-104.00750394235797
64,-103.96070661393104
65,-103.91275123348095
66,-103.86481857007725
67,-103.8152827544249
68,-103.7644973908797
69,-103.71584910394097
70,-103.66861317008114
71,-103.63167109329797
72,-103.62562207623245
73,-103.61391118674895
74,-103.56730184319974
75,-103.5155248553873
76,-103.46231518061255
77,-103.4082888075792
78,-103.35497378210748
79,-103.30373497076432
80,-103.25018445727841
81,-103.19714533369572
82,-103.14584363864738
83,-103.09313954158064
84,-103.04179455962768
85,-102.99256037607448
86,-102.94197893483711
87,-102.8898674316618
88,-102.83933129332341
89,-102.78999937309769
90,-102.73898941566662
